client_id,client_name,zip_code,region_tier
96,Holly Thomas,32746,Mid
97,Katie Williams,32792,High
98,Casey Wilson,32779,High
99,Tim Johnson,32808,Standard
100,Andrew Harrison,32836,High
101,Richard Marsh,32836,High
102,Craig Watts,32765,Standard
103,Kevin Steele,32707,Standard
104,Carrie Solomon,32750,Mid
105,Brittany Schroeder,32707,Standard
106,Michael Rogers,32792,High
107,Sharon Cochran,32825,Standard
108,Mrs. Laurie Bell,32792,High
109,Steve Sanchez,32789,High
110,Vanessa Torres DDS,32836,High
111,Veronica Jones,32714,Mid
112,Nathaniel Chung,32750,Mid
113,Tracey Carpenter,32825,Standard
114,Sarah Black,32750,Mid
115,Dale Mcdaniel,32765,Standard
116,Victoria Snyder,32714,Mid
117,Jennifer Sharp,32808,Standard
118,Denise Carrillo DDS,32750,Mid
119,Catherine Kim,32750,Mid
120,Sarah Brown,32765,Standard
121,Erin Cooper,34786,High
122,Ashley Wilson,34786,High
123,Vanessa King,32765,Standard
124,Stephanie Villegas,32836,High
125,Scott Garcia,32707,Standard
126,Jeremy Graham,32707,Standard
127,Jared Johnson DDS,34786,High
128,Catherine Strong,34786,High
129,Christopher Jones,34786,High
130,Joshua Lindsey,32836,High
131,Allison Flores,32808,Standard
132,Crystal Powell,32836,High
133,Steven Schultz,32808,Standard
134,Eileen Webb,32746,Mid
135,Richard Franco,34786,High
136,Scott Johnson,32789,High
137,Tara George,32792,High
138,Amanda Jimenez,32750,Mid
139,Ashley Martin,32836,High
140,Martin Gilbert,34786,High
141,Joseph Whitney,32779,High
142,Tiffany Ferguson,34786,High
143,Tiffany Douglas,32746,Mid
144,Dale Grimes DDS,32836,High
145,Joshua Nelson,32808,Standard
146,Jennifer Anderson,32792,High
147,Kristin Young,32779,High
148,David Steele,32789,High
149,Joshua Thompson,32707,Standard
150,Emily Fields,32714,Mid
151,Robert Richmond,32789,High
152,Lisa Garcia,32792,High
153,Claudia Garcia,32714,Mid
154,Kim Howard,32714,Mid
155,Joseph Ayers,32836,High
156,Justin Spence,32836,High
157,Carrie Price,32750,Mid
158,Jesse Rose,32836,High
159,Courtney Walker,32779,High
160,John Baxter,32789,High
161,Thomas Mccormick,32765,Standard
162,John Blake,32707,Standard
163,Kimberly Shaw,32714,Mid
164,David Johnson,32836,High
165,Leon Turner,34786,High
166,William White,32765,Standard
167,Nichole Hunter,32789,High
168,Dr. Charlene Clark,32750,Mid
169,Krystal Hall,32779,High
170,Nathan Pearson,32825,Standard
171,Angel Thomas,32714,Mid
172,Amanda Whitehead,32789,High
173,Steve Parrish,32714,Mid
174,Collin Barker,32765,Standard
175,Paul Leon,32779,High
176,Edward Hart,32746,Mid
177,Andrea Chaney,32714,Mid
178,Derek Donaldson,32765,Standard
179,Jesse Hernandez,32750,Mid
180,Sara Kirk,32789,High
181,Andrew Cochran,32714,Mid
182,Ronald Morrison,32808,Standard
183,Robert Nelson,32714,Mid
184,Summer Gillespie,32825,Standard
185,Antonio Jones,32825,Standard
186,Dr. Kevin Rubio,32714,Mid
187,Angela Johnson,32836,High
188,Tracy Rosales,34786,High
189,Misty Hayes,32714,Mid
190,Laura Williamson,32714,Mid
191,Dennis Williams,32779,High
192,Jim Sosa,32825,Standard
193,Jennifer Parker,32714,Mid
194,Kristina Bray,34786,High
195,Michelle Webb,32750,Mid
196,Samantha Steele,32792,High
197,Carol Brooks,32825,Standard
198,Kenneth Thompson,32792,High
199,Kathleen Johnson,32750,Mid
200,Michael Trujillo,34786,High
201,Terry Colon,32746,Mid
202,Mrs. Debra Matthews,32836,High
203,Kevin Rios,32750,Mid
204,Dr. Dawn Robinson,32825,Standard
205,Cassidy Williams,34786,High
206,Amanda Day,32836,High
207,John Perez,32779,High
208,Derek Sanchez,32808,Standard
209,Thomas Cline,32789,High
210,Brenda Henderson,32714,Mid
211,Nicholas Moore,34786,High
212,Karen Parker,32825,Standard
213,Madison Jones,32808,Standard
214,Lisa Ortega PhD,34786,High
215,Casey Clark,32765,Standard
216,Mr. Kenneth Rodriguez,32714,Mid
217,Mark Ramirez,32836,High
218,Nancy Tucker,32789,High
219,Mariah Smith,32825,Standard
220,Diana Hill,32746,Mid
221,Christina Evans,34786,High
222,Victoria Cooper,32750,Mid
223,Joseph Wells,34786,High
224,Jillian Sullivan,34786,High
225,Jeffrey Burns,32836,High
226,Susan Bass,32750,Mid
227,Megan Strickland,32808,Standard
228,Stacy Jones,32836,High
229,Suzanne Mcclure,32746,Mid
230,Thomas Espinoza,32746,Mid
231,Sharon Johnson,32750,Mid
232,Elizabeth Palmer,32808,Standard
233,Kimberly Vasquez,32836,High
234,Jeremiah Lewis,32779,High
235,Derrick Brown,32836,High
236,Mary Smith,32750,Mid
237,Cindy Casey,34786,High
238,Crystal Waller,32765,Standard
239,Katie Nelson,32750,Mid
240,Stephanie Zimmerman,32765,Standard
241,Mr. Gregory Hernandez,32765,Standard
242,Tiffany Nunez,32836,High
243,Timothy Aguilar,32746,Mid
244,John Anderson,34786,High
245,Elizabeth Davis,32779,High
246,Rhonda Cook,32746,Mid
247,Patricia Clark,32808,Standard
248,Randy Gallegos,32792,High
249,Allison Mitchell,32746,Mid
250,Kaitlyn Cruz,32779,High
251,Kenneth Gonzales,32825,Standard
252,Mitchell Allen,32746,Mid
253,Leah Taylor,32714,Mid
254,Nathan Irwin,32789,High
255,Kenneth Ray,32750,Mid
256,Dana Green,32765,Standard
257,Felicia Rivera,34786,High
258,Shaun Macias,32792,High
259,Robert Parker,32765,Standard
260,Brandon Parker,32779,High
261,Daniel Crosby,32789,High
262,Victoria Reid,32746,Mid
263,Erica Phillips,32789,High
264,Wendy Wade MD,32707,Standard
265,Mary Trevino,34786,High
266,Mr. Matthew Rowe,32746,Mid
267,Laura Dixon MD,32836,High
268,Gabrielle Pennington,32808,Standard
269,Lauren Austin,32707,Standard
270,Jonathan Kelly,32746,Mid
271,Erin Johnson,32836,High
272,William Manning,32765,Standard
273,Howard Klein,32808,Standard
274,David Blair,32707,Standard
275,Jessica Young,34786,High
276,Stephanie Wright,32750,Mid
277,Dana Pratt,32746,Mid
278,Laura Jordan,32707,Standard
279,Jason Cummings,32808,Standard
280,David White,32707,Standard
281,Micheal Combs,32836,High
282,Justin Nguyen,32825,Standard
283,Zachary Maldonado,32765,Standard
284,Melissa Grant,32808,Standard
285,Brett Short,32792,High
286,Alexander Flores,32792,High
287,Nathan Gallegos,32779,High
288,Randy Brooks,32746,Mid
289,Jill Thompson,32825,Standard
290,Lisa Hughes,32746,Mid
291,Chelsey Taylor,32707,Standard
292,Stephen Lewis,34786,High
293,Tiffany Boyd,32714,Mid
294,John Henderson,32792,High
295,Eric Fischer,32789,High
296,Emma Moore,34786,High
297,Rebecca Hardin,32707,Standard
298,Benjamin Harrison,32714,Mid
299,James Jones,32714,Mid
300,Blake Howell,32779,High
301,Mary Martinez,34786,High
302,Scott Friedman,32714,Mid
303,Nathan Ross,32808,Standard
304,Elizabeth Gardner,32750,Mid
305,Eric Day,32746,Mid
306,Douglas Smith,32746,Mid
307,Eric Berger,34786,High
308,Thomas Lewis,32750,Mid
309,Amy Johnson,32825,Standard
310,Lorraine Malone,32836,High
311,Benjamin Sosa,32714,Mid
312,Amber Lee,34786,High
313,Rodney Evans,32746,Mid
314,Kevin Cisneros,32746,Mid
315,Lance Barr,32714,Mid
316,Kim Torres,32792,High
317,Juan Ramos,32836,High
318,Luke Browning,32714,Mid
319,Dylan Jacobs,32779,High
320,Lisa Harrison,34786,High
321,Jeffrey Patterson,32707,Standard
322,Katie Alvarez,32808,Standard
323,Christopher Davis,32746,Mid
324,Craig Paul,32707,Standard
325,Robin Hill,32825,Standard
326,Devin Walker,32750,Mid
327,Andrew Williams,32808,Standard
328,Christina Cervantes,32808,Standard
329,Kyle Moore,32707,Standard
330,Valerie Alexander,32765,Standard
331,Jill Conrad,32714,Mid
332,Deanna Carson,32789,High
333,Julie Hayes,32836,High
334,Lauren Gomez,32707,Standard
335,Scott Davidson,32750,Mid
336,Sophia Moore,32808,Standard
337,Phillip Caldwell,32792,High
338,Patrick Washington,32789,High
339,Matthew Lee,32792,High
340,Stephanie Ryan,32789,High
341,Thomas Larson,32825,Standard
342,Natasha Jones,32792,High
343,Joshua Howe,32825,Standard
344,William Fernandez,32750,Mid
345,Andrew Myers,34786,High
346,Christopher Russell,32836,High
347,Daniel Edwards,32779,High
348,Hannah Preston,32836,High
349,Sarah Johnson,32765,Standard
350,Michael Jordan,34786,High
351,Alicia Crawford,32714,Mid
352,Zachary Brown,32836,High
353,Karen Cisneros,32750,Mid
354,Monica Estrada,32750,Mid
355,Jennifer French,32746,Mid
356,Ralph Harrison,32746,Mid
357,Matthew Mcdaniel,34786,High
358,Madison Nelson,32750,Mid
359,Sarah Nichols,32714,Mid
360,Marcus Mcgee,32779,High
361,Amy Grant,32779,High
362,Eric Miller,32808,Standard
363,Alan Holmes,32765,Standard
364,Alison Romero,32765,Standard
365,Larry Clark,32750,Mid
366,James Flores,32765,Standard
367,Ashley Lee,32714,Mid
368,Amy Johnson,34786,High
369,Thomas Chavez,32779,High
370,Alex Brooks,32836,High
371,Peter Russell,32825,Standard
372,Brittany Sloan,32808,Standard
373,Michael Allen,32789,High
374,Gabriel Buchanan,34786,High
375,Steven Whitney,32825,Standard
376,Patrick Tate,32836,High
377,Sean Spencer MD,32779,High
378,Stephen Keller,32750,Mid
379,Mary Wright,32825,Standard
380,Ashley Kim MD,32792,High
381,Isaac Ibarra,32714,Mid
382,Eric Patton,32792,High
383,Brett Wilson,32825,Standard
384,Vincent Le,32836,High
385,Felicia Grant,32825,Standard
386,Nicholas Page,32825,Standard
387,William Hansen,32825,Standard
388,Shane Martinez,32789,High
389,Laura Glover,32825,Standard
390,Jennifer Warren,34786,High
391,Mr. Joseph Murphy,32707,Standard
392,James Morris,32746,Mid
393,Jeremy Cowan,32714,Mid
394,Michael Alvarado,32746,Mid
395,Melody Alvarez,32746,Mid
396,Justin Romero,32836,High
397,Karen Hall,32714,Mid
398,Tammy Cox,32765,Standard
399,Linda Hall,32789,High
400,Madeline Alexander,32750,Mid
401,Kathryn Anderson,32750,Mid
402,Brandy Maldonado,32808,Standard
403,Rachel Stewart,32746,Mid
404,William Wilson,32707,Standard
405,Tony Padilla,32808,Standard
406,Andrew Malone,32789,High
407,Hunter Garza,32714,Mid
408,Megan Alvarez,32750,Mid
409,Alicia Roberts,32750,Mid
410,Aaron Powers,32707,Standard
411,Julie Townsend,34786,High
412,Chelsea Sanford,32792,High
413,Francisco Parsons,32836,High
414,Connie Riley,32765,Standard
415,Denise Smith,32750,Mid
416,Felicia Jackson,32765,Standard
417,Jacob Delgado,32789,High
418,Mathew Kim,32836,High
419,Christopher Brown,32779,High
420,Donald Anderson MD,32779,High
421,Samantha Miller,32836,High
422,Linda Williams,32750,Mid
423,Scott Morris,32792,High
424,Joshua Odom,32765,Standard
425,Andrew Reid,32779,High
426,Cynthia Shaw,32779,High
427,Jimmy Pugh,32746,Mid
428,Ryan Chapman,32789,High
429,Diana Carr,32792,High
430,Clinton Dawson,32808,Standard
431,Jacob Christensen,34786,High
432,Lindsay Adams,32792,High
433,John Myers,32825,Standard
434,Anthony Wilson,32789,High
435,Christina Clark,32779,High
436,Alexis Gutierrez,32792,High
437,Nicholas Mason,32792,High
438,Taylor Hernandez,32779,High
439,Amber Hartman,32825,Standard
440,Michael Edwards,32750,Mid
441,Dr. Matthew Anderson MD,32792,High
442,Wesley Moore,32808,Standard
443,William Cummings,32746,Mid
444,Robert Lynch,32792,High
445,Mark Howard,32808,Standard
446,Ronald Diaz,32765,Standard
447,Priscilla Lane,32825,Standard
448,Jessica Juarez,32714,Mid
449,Heather Smith,32765,Standard
450,Samuel Chung,32779,High
451,Diamond Lopez,32825,Standard
452,Deanna Richards,32707,Standard
453,Jessica Villanueva,32825,Standard
454,Adam Sandoval,32825,Standard
455,Tyler Flowers,32836,High
456,Rachel Johnson,32765,Standard
457,Donald Williams,32789,High
458,Shelby Zamora,32836,High
459,Rodney Lee,32792,High
460,Laura Smith,32765,Standard
461,Laura Conrad,32808,Standard
462,Kevin Wong,32765,Standard
463,Christine Jenkins,34786,High
464,Bruce Norris,32746,Mid
465,Timothy Bishop,34786,High
466,Aaron Shaw,32808,Standard
467,Douglas Harrington,34786,High
468,Morgan Evans,32714,Mid
469,Robert Weber,32750,Mid
470,Mark Vazquez,32750,Mid
471,Arthur Gomez,32750,Mid
472,Phillip Baker,32746,Mid
473,Wendy Bridges,32779,High
474,Brandon Osborne,32836,High
475,Justin Fox,32792,High
476,Larry Parsons,34786,High
477,Daniel Patel,32765,Standard
478,Rachel Osborne,32825,Standard
479,Stephen Gutierrez,32792,High
480,Antonio Hutchinson,32792,High
481,Michael Foley,32808,Standard
482,Joshua Gould,32836,High
483,Betty Doyle,34786,High
484,Richard Gonzalez,32808,Standard
485,Emma Valencia,34786,High
486,Melissa Jones,32750,Mid
487,Olivia Gilbert DDS,32789,High
488,Ariel Russo,32750,Mid
489,Brandon Martinez,32825,Standard
490,Jason Sanchez,32836,High
491,Brian Sanford,34786,High
492,Michael Levine,32808,Standard
493,Kimberly Brooks,32836,High
494,Ariana Moss,32765,Standard
495,Corey Sullivan,32825,Standard
496,Gregory Fuentes,32789,High
497,Nathan Carney,32808,Standard
498,David Carroll,32808,Standard
499,Timothy Johnson,32808,Standard
500,Gary Woods,32750,Mid
501,Beverly Pierce,32707,Standard
502,Jeffery Davis,34786,High
503,Nicole Ford,32765,Standard
504,Mark Porter,32808,Standard
505,William Small,32707,Standard
506,Adam Rivera,32750,Mid
507,Jody Wheeler,32792,High
508,Craig Kelley,32746,Mid
509,Tiffany Green,32825,Standard
510,Elizabeth Mills,32792,High
511,Joseph Neal,32750,Mid
512,Jordan Massey,32836,High
513,James Whitaker,32792,High
514,Ashley Smith,32825,Standard
515,Emily Pollard,32765,Standard
516,Eric Lewis,34786,High
517,Todd Moon,32836,High
518,Alexis Carr,32779,High
519,David Lewis,32825,Standard
520,Jason Monroe,32765,Standard
521,Eric Johnson,32765,Standard
522,Sandra Byrd,32714,Mid
523,Jennifer Richardson,32765,Standard
524,William Nunez Jr.,32746,Mid
525,Brandy Barrera,32792,High
526,Adrienne Clayton,32750,Mid
527,Jackson Pennington,32707,Standard
528,James Chandler,32707,Standard
529,Allison Reed,34786,High
530,Clayton Hill,32746,Mid
531,Kenneth Chang,32765,Standard
532,Sara Gray,32750,Mid
533,Adrienne Flores,32789,High
534,Donald Griffin,32792,High
535,Andre Cohen,32750,Mid
536,Jessica Chavez,32825,Standard
537,Angelica Edwards,32836,High
538,Erin Walter,32779,High
539,Ashley Goodwin,32765,Standard
540,Nancy Doyle,32765,Standard
541,Sharon Holland,32836,High
542,Danielle Guerra,32789,High
543,Christopher Little,32707,Standard
544,Todd Anderson,32792,High
545,Amanda Roberts,34786,High
546,Nicholas Moyer,32825,Standard
547,Susan Johnson,32765,Standard
548,Jordan Smith,32750,Mid
549,James Johnson,32714,Mid
550,Martin Mcdaniel,32765,Standard
551,Stacy Taylor,32792,High
552,John Patterson,32825,Standard
553,Monique Jordan,32836,High
554,Crystal Murphy,32765,Standard
555,Richard Turner,32789,High
556,Francisco Alexander,32836,High
557,Anne Williams,32789,High
558,Krystal Johnson,32825,Standard
559,Justin Jackson,32746,Mid
560,Alexis Shaw,32707,Standard
561,Amy Hayden DDS,32836,High
562,Kaylee Pratt,32746,Mid
563,Andrea Delacruz,32714,Mid
564,Alexandria Reilly,32808,Standard
565,Michael Ortiz,32836,High
566,Amber Johnson,32825,Standard
567,Cody Fisher,32746,Mid
568,Michael Murphy,32714,Mid
569,Alexis Mitchell,32836,High
570,Cory Gates,32825,Standard
571,Martha Morales,32808,Standard
572,Jennifer Duarte,32714,Mid
573,Terry Johnson,32750,Mid
574,Heidi Franco,32707,Standard
575,Matthew Carter,32714,Mid
576,John Oneill,32825,Standard
577,Paul Benton,32746,Mid
578,Bruce White,32825,Standard
579,Mark Thompson,32792,High
580,Adam Rangel,32792,High
581,Lauren Anderson,32779,High
582,Heather Rodriguez,32714,Mid
583,Andrew Walker,32789,High
584,Emily Martinez,32789,High
585,Joseph Cherry MD,34786,High
586,Joel Bell,32808,Standard
587,Paul Hogan MD,34786,High
588,Clarence Dean,34786,High
589,Anna Cox,32765,Standard
590,Veronica Thompson,32836,High
591,Jay Schmitt,32765,Standard
592,Joshua Collier,32765,Standard
593,Russell Shah,32750,Mid
594,Marcus Hughes,32707,Standard
595,Justin Maldonado,32750,Mid
596,Michael Lewis,32789,High
597,Brett Hill,32714,Mid
598,Brooke Bowman,32836,High
599,Mary Gibson,32789,High
600,Timothy Aguilar,32746,Mid
601,Jessica Lopez,32789,High
602,Jacob Powell,32750,Mid
603,Scott Jackson,32792,High
604,Ann Hoffman,32779,High
605,Janet Wade,32825,Standard
606,Jesus Gonzalez,32746,Mid
607,Cody Garcia,32808,Standard
608,Jessica Forbes,34786,High
609,Brian Campbell,32792,High
610,Thomas Wilson,32707,Standard
611,Justin Ramirez,32746,Mid
612,Dale Stewart,32792,High
613,David Carr,32792,High
614,Jordan Young,32789,High
615,Jennifer Morales,32789,High
616,Carol Hensley,32825,Standard
617,Heidi Carter,32714,Mid
618,David Castillo,32836,High
619,Wendy Arnold,32765,Standard
620,Andrew Hayden,32779,High
621,Brett Powers,32779,High
622,Blake Mccormick,32750,Mid
623,James Ortega,32792,High
624,Jesse Davis,32836,High
625,Lonnie White,32707,Standard
626,Barbara Alvarez,32707,Standard
627,Kevin Kane,32765,Standard
628,Kayla Vang,32836,High
629,Robert Hendrix,32714,Mid
630,Valerie Mitchell,32714,Mid
631,Julia Dawson,32808,Standard
632,Lori Padilla,32779,High
633,Alexander Simon,32792,High
634,Adam Rodriguez,32792,High
635,Michael Davis,34786,High
636,Anthony Fuller,32792,High
637,Christian Brown,32825,Standard
638,Patricia Carter,34786,High
639,David White,32707,Standard
640,David Roman,32789,High
641,Mrs. Ann Owen,32792,High
642,Jill Sutton,32789,High
643,Rodney Schaefer,32746,Mid
644,Gary Osborne,32836,High
645,Steven Freeman,32792,High
646,Allen Grant,32779,High
647,Rodney Huerta,32714,Mid
648,Alisha Long,32789,High
649,David Cannon,32765,Standard
650,Brian Moore,32746,Mid
651,Karen Coleman,32765,Standard
652,Maxwell Larsen,32765,Standard
653,Michael Hill,32808,Standard
654,Erik Romero,32825,Standard
655,Emily Jones,32765,Standard
656,Michelle Johnson,32714,Mid
657,Dustin Cannon,32808,Standard
658,Anthony Hall,32746,Mid
659,Johnny Delgado,32750,Mid
660,Candace Ortiz,32765,Standard
661,Stephen Mcneil,32714,Mid
662,Jennifer House,32789,High
663,Jonathan Baker,32750,Mid
664,John White,32765,Standard
665,Kathryn Evans,32808,Standard
666,Patricia Salazar,32836,High
667,Benjamin Franco,32714,Mid
668,Ian Flores,32746,Mid
669,Monica Gutierrez,32765,Standard
670,Deborah Morgan,32792,High
671,Shane Case,32707,Standard
672,Lori Wilson,32750,Mid
673,Crystal Johnson,32836,High
674,Michael Herrera,32714,Mid
675,Taylor Mata,32808,Standard
676,Michael Buckley,32789,High
677,Craig Mckinney,32707,Standard
678,Amy Evans,32765,Standard
679,Jacob Jackson,32808,Standard
680,Rebecca Fowler,32789,High
681,Lisa Cardenas,32765,Standard
682,Amanda Johnson,32779,High
683,Phillip Burnett,32714,Mid
684,Steven Jacobson,32789,High
685,Paula Mckinney,32714,Mid
686,Catherine Travis,32789,High
687,Timothy Barnes,32765,Standard
688,Tanner Stevens,32836,High
689,Richard Adams,32714,Mid
690,Brian Anderson,32707,Standard
691,Teresa Rich,32789,High
692,Andrew West,32779,High
693,Cameron Russell,32779,High
694,Michael Adams,32779,High
695,Matthew Maxwell,32792,High
696,Angela Smith,32714,Mid
697,Jeffery Hughes,32765,Standard
698,Jerry Jackson,32789,High
699,James Adams,32750,Mid
700,Joseph Johnson,32714,Mid
701,Julia Frye,32714,Mid
702,Danny Sanders,32765,Standard
703,Shawn Hicks,32750,Mid
704,Natalie Rosales,32714,Mid
705,James Ho,32792,High
706,Michael Johnson,32750,Mid
707,Ryan Reyes,32714,Mid
708,John Wheeler,32825,Standard
709,Sarah Tate,32707,Standard
710,Sarah Davis,32707,Standard
711,Matthew Carroll,32792,High
712,Donna Thompson,32789,High
713,Michael Wilkins,32808,Standard
714,Matthew Price,32714,Mid
715,Yvonne May MD,32808,Standard
716,Angela Thompson,32707,Standard
717,Paul Buck,32746,Mid
718,Robert Lara,32808,Standard
719,Megan Mann,32808,Standard
720,Rita Thompson,32836,High
721,Corey Brown,32714,Mid
722,Lauren Zavala,32808,Standard
723,Debra Patel,32792,High
724,Jennifer Cruz,32765,Standard
725,Kristin Singleton,32779,High
726,Michael Ryan,32765,Standard
727,John Kramer,32792,High
728,Dustin Anderson PhD,34786,High
729,Curtis Walton,32714,Mid
730,Melissa Boyd,34786,High
731,James Fleming,32714,Mid
732,Alexander Pham,32825,Standard
733,Nicole Potts,32707,Standard
734,Timothy Thomas,32825,Standard
735,Tiffany Rose,32750,Mid
736,Jacqueline Hayes,32714,Mid
737,Victor Ramirez,32750,Mid
738,Teresa Ross,32836,High
739,Jill Wiley,32779,High
740,Amanda Perkins,32808,Standard
741,Luis Hardin,32836,High
742,Andrea Rowe,32765,Standard
743,William Jones,32836,High
744,Johnathan Terry,32765,Standard
745,Mark Myers,34786,High
746,Danielle Thompson,32825,Standard
747,Elizabeth Cox,32765,Standard
748,Steven Ho,32808,Standard
749,Jason Torres,32714,Mid
750,Amanda Ray,32808,Standard
751,Ashley Lee,32714,Mid
752,Samantha Hopkins,32779,High
753,Robert Brown,32808,Standard
754,Meghan Olson,32765,Standard
755,Kelly Williams,34786,High
756,Jennifer Williams,32792,High
757,Jessica Curry,32765,Standard
758,Ryan Jenkins,32746,Mid
759,Michael Murillo,32779,High
760,Luis Garcia,32792,High
761,John Fischer,32792,High
762,Michael Cherry Jr.,32808,Standard
763,Christine Martin,32825,Standard
764,Mitchell Jones,32825,Standard
765,Allison Griffin,32792,High
766,Kristina Cherry,32836,High
767,James Diaz,32792,High
768,Grant Tran,32707,Standard
769,Rebecca Shelton,32765,Standard
770,Connie Rose,32765,Standard
771,Terri Huff,32789,High
772,Kathryn Walker,32750,Mid
773,Sarah Salazar,32750,Mid
774,Pamela Everett,32746,Mid
775,Whitney Acosta,32750,Mid
776,Charles Thompson,32789,High
777,Jacob Silva,34786,High
778,Heather Aguilar,32808,Standard
779,Cynthia Lane,32707,Standard
780,Wesley Johnson,32750,Mid
781,Kristi George,32714,Mid
782,Amy Owens,32836,High
783,Gloria Hansen,32707,Standard
784,Ariel Riley,32779,High
785,Connie Anderson,32792,High
786,Jacob Rodriguez,32765,Standard
787,Kevin Cook,34786,High
788,Jason Dunn,32836,High
789,Wendy Johnson,32714,Mid
790,Terry Hernandez,32792,High
791,Daniel Harvey,32808,Standard
792,Larry Adams,32746,Mid
793,James Lynch,32836,High
794,Oscar Sullivan,32836,High
795,Diana Black,32765,Standard
796,Ana Schmidt,32792,High
797,Kenneth Stewart,32750,Mid
798,Karen Mitchell,32836,High
799,Joshua Blake,32789,High
800,Lori Walker,32746,Mid
801,Jacqueline Wiggins,32779,High
802,Alicia Barnes,32750,Mid
803,Aaron Porter,32765,Standard
804,Michelle Davenport,34786,High
805,Rebecca Vega,32789,High
806,Kelly Morales,32836,High
807,Katherine Morris,32707,Standard
808,Michele Meyer,32765,Standard
809,Patrick Thompson,32750,Mid
810,Victoria Buchanan,32707,Standard
811,Jill Williams,32789,High
812,Emily Wright DDS,32836,High
813,Allen Melton,32792,High
814,Elizabeth Todd,32750,Mid
815,Richard Rosales,32779,High
816,Renee Brown,32825,Standard
817,Charles Morrow,32792,High
818,Andrew Gray,32707,Standard
819,Justin Thomas,32825,Standard
820,Michelle Clayton,32779,High
821,Adam Ritter,32836,High
822,James Wilson,32707,Standard
823,Anthony Conway,32746,Mid
824,Miranda Combs,32779,High
825,Patrick Russell,34786,High
826,Christian Carter,32836,High
827,Stacey Henson,32825,Standard
828,Jonathan Chambers,32707,Standard
829,Robin Peterson,34786,High
830,Gloria Dominguez,32825,Standard
831,Kristina Mcclain,32836,High
832,Joel Briggs,32808,Standard
833,Holly Wallace,32825,Standard
834,Christopher Andrews,32825,Standard
835,Jonathon Mitchell,32789,High
836,Dana Mccoy,32789,High
837,John Thornton,32789,High
838,James Dixon,32792,High
839,Ruben Holmes,32707,Standard
840,Corey Griffith,32746,Mid
841,Timothy Miller,32836,High
842,Bradley Williams,32836,High
843,Christine Johnson,32836,High
844,Thomas Tran,32750,Mid
